Recommender,Better than Baseline,Equal to Baseline,Worse than Baseline,Total,Better %,Equal %,Worse %
NN Regressor,9,4,6,19,47.368421052631575,21.052631578947366,31.57894736842105
Average Rank,9,0,10,19,47.368421052631575,0.0,52.63157894736842
Hybrid Meta,9,6,4,19,47.368421052631575,31.57894736842105,21.052631578947366
Bayesian Surrogate,8,5,6,19,42.10526315789473,26.31578947368421,31.57894736842105
PMM (Original),8,6,5,19,42.10526315789473,31.57894736842105,26.31578947368421
AutoGluon,8,3,8,19,42.10526315789473,15.789473684210526,42.10526315789473
Paper PMM,7,4,8,19,36.84210526315789,21.052631578947366,42.10526315789473
L1 Distance,5,0,14,19,26.31578947368421,0.0,73.68421052631578
KNN Classifier,5,8,6,19,26.31578947368421,42.10526315789473,31.57894736842105
Random Forest,4,14,1,19,21.052631578947366,73.68421052631578,5.263157894736842
Random,4,1,14,19,21.052631578947366,5.263157894736842,73.68421052631578
AdaBoost Regressor,0,19,0,19,0.0,100.0,0.0
Neural Network,0,19,0,19,0.0,100.0,0.0
