,AdaBoost Regressor,AutoGluon,Average Rank,Bayesian Surrogate,Hybrid Meta,KNN Classifier,L1 Distance,NN Regressor,Neural Network,PMM (Original),Paper PMM,Random,Random Forest
AdaBoost Regressor,0.0,10.0,10.0,10.0,5.0,6.0,14.0,9.0,1.0,6.0,9.0,15.0,2.0
AutoGluon,8.0,0.0,8.0,9.0,5.0,9.0,15.0,6.0,8.0,7.0,7.0,14.0,6.0
Average Rank,9.0,4.0,0.0,11.0,8.0,10.0,14.0,6.0,9.0,9.0,9.0,14.0,6.0
Bayesian Surrogate,9.0,5.0,6.0,0.0,5.0,7.0,13.0,5.0,9.0,6.0,5.0,14.0,5.0
Hybrid Meta,10.0,10.0,8.0,9.0,0.0,9.0,15.0,10.0,11.0,8.0,10.0,16.0,7.0
KNN Classifier,5.0,9.0,9.0,11.0,5.0,0.0,14.0,11.0,6.0,8.0,10.0,14.0,5.0
L1 Distance,5.0,4.0,5.0,6.0,4.0,4.0,0.0,5.0,5.0,4.0,6.0,8.0,4.0
NN Regressor,9.0,5.0,8.0,10.0,7.0,8.0,13.0,0.0,9.0,11.0,10.0,16.0,8.0
Neural Network,0.0,10.0,10.0,10.0,5.0,6.0,14.0,8.0,0.0,6.0,9.0,15.0,2.0
PMM (Original),9.0,9.0,9.0,8.0,4.0,7.0,13.0,7.0,9.0,0.0,8.0,14.0,7.0
Paper PMM,9.0,7.0,8.0,8.0,8.0,9.0,13.0,5.0,9.0,9.0,0.0,15.0,6.0
Random,4.0,5.0,5.0,5.0,3.0,3.0,10.0,3.0,4.0,1.0,4.0,0.0,3.0
Random Forest,4.0,11.0,10.0,12.0,7.0,9.0,15.0,10.0,5.0,7.0,10.0,16.0,0.0
