dataset_id,dataset_name,best_score,total_time,pipeline_imputation,pipeline_scaling,pipeline_encoding,pipeline_feature_selection,pipeline_outlier_removal,pipeline_dimensionality_reduction
1503,D_1503,0.09833333333333333,3546.1649537086487,none,none,none,none,none,none
23517,D_23517,0.5095833333333334,761.2764759063721,none,none,none,none,none,none
1551,D_1551,0.16666666666666666,1163.7944412231445,none,robust,none,k_best,none,none
1552,D_1552,0.20909090909090908,619.1071269512177,none,robust,none,k_best,none,none
154,D_154,0.4141666666666667,2943.4042489528656,none,none,none,none,isolation_forest,none
255,D_255,0.5125,2863.9045259952545,none,none,none,none,none,pca
920,D_920,0.5933333333333334,508.6122646331787,none,none,none,none,none,pca
475,D_475,0.4083333333333333,1227.6973040103912,none,none,none,none,none,none
481,D_481,0.6833333333333333,500.33404183387756,none,none,none,none,isolation_forest,none
516,D_516,0.636986301369863,964.5553953647614,most_frequent,none,none,none,none,none
6,D_6,0.03143054246902466,786.366851568222,none,standard,none,none,none,none
801,D_801,0.6964285714285714,480.89695501327515,none,none,none,variance_threshold,none,none
10,D_10,0.6976744186046512,467.77937388420105,none,none,none,none,none,svd
12,D_12,0.8552123552123552,1449.996589899063,none,none,none,none,zscore,none
14,D_14,0.3516666666666667,1545.3105809688568,none,none,none,mutual_info,none,none
9,D_9,0.2786885245901639,669.7632031440735,none,none,none,none,none,none
11,D_11,0.6914893617021277,580.1181354522705,none,none,none,none,none,none
987,D_987,0.9133333333333333,514.6531453132629,most_frequent,none,none,none,none,none
